Buy,JPM,17,69.85,2018,2,25
Sell,VZ,34,94.53,2017,1,15
Buy,XOM,35,42.11,2017,6,4
Buy,TRV,29,59.41,2016,7,26
Buy,T,34,39.04,2018,6,3
Sell,TRV,42,90.04,2018,2,18
Buy,GS,27,81.68,2018,6,5
Buy,MRK,21,26.58,2016,9,20
Buy,UNH,37,2.83,2014,1,1
Sell,DIS,44,14.17,2014,9,27
Sell,INTC,39,47.07,2018,8,3
Sell,UTX,33,80.04,2014,7,7
Sell,WMT,20,36.56,2018,10,19
Buy,PG,20,77.07,2014,3,23
Sell,MCD,37,14.97,2015,11,15
Sell,JPM,26,7.74,2014,6,11
Sell,VZ,13,13.65,2017,9,26
Sell,HD,47,21.93,2016,7,4
Sell,INTC,35,80.56,2018,9,6
Buy,MRK,13,70.26,2016,8,17
Buy,DIS,43,15.73,2015,5,1
Buy,V,49,13.25,2016,7,17
Buy,PG,39,54.44,2018,1,4
Buy,INTC,19,65.02,2016,6,18
Buy,XOM,50,39.63,2016,4,19
Sell,JNJ,16,57.96,2017,5,19
Sell,XOM,46,73.69,2015,3,8
Buy,XOM,44,91.09,2014,2,2
Buy,INTC,40,86.47,2018,7,7
Sell,NKE,22,48.80,2014,5,6
Buy,MMM,41,95.21,2014,1,7
Sell,KO,15,79.15,2015,8,1
Buy,HD,32,10.08,2015,4,3
Sell,MCD,46,62.78,2018,6,14
Sell,JNJ,30,8.64,2017,1,26
Buy,MRK,44,73.44,2017,5,21
Buy,XOM,41,100.33,2017,9,7
Buy,VZ,34,39.20,2016,12,28
Buy,DD,39,87.07,2018,8,10
Buy,KO,45,90.89,2014,1,12
Buy,GE,37,4.67,2014,10,1
Buy,XYZ,50,5.95,2016,3,20
Sell,JNJ,20,35.16,2017,9,19
Buy,UNH,39,45.82,2016,8,3
Buy,VZ,47,41.96,2015,8,8
Buy,HD,26,57.94,2015,12,21
Sell,UTX,29,40.46,2017,6,20
Sell,MCD,50,16.22,2014,12,9
Buy,NKE,23,80.45,2017,3,15
Sell,PFE,42,98.82,2016,7,7
Sell,WMT,15,54.08,2018,3,9
Sell,MSFT,29,86.57,2018,8,18
Sell,JPM,29,21.15,2018,7,19
Buy,T,37,85.03,2017,1,7
Buy,HD,33,88.58,2014,12,24
Buy,TRV,33,32.13,2016,9,19
Sell,MCD,30,8.42,2018,1,4
Sell,MRK,23,1.12,2017,2,2
Buy,NKE,22,34.57,2017,8,26
Sell,UTX,25,43.14,2017,5,1
Sell,VZ,35,4.05,2014,3,20
Buy,PFE,24,42.51,2017,7,16
Buy,XYZ,38,33.13,2016,7,3
Sell,HD,22,5.86,2017,2,26
Buy,V,18,92.18,2018,4,3
Buy,WMT,42,93.71,2014,10,2
Sell,JPM,46,3.48,2016,1,15
Buy,XOM,30,33.36,2015,8,11
Sell,HD,12,59.60,2016,5,7
Sell,JNJ,35,35.94,2017,7,13
Sell,HD,13,55.92,2018,12,13
Buy,MSFT,33,7.90,2017,11,15
Buy,V,40,75.43,2015,11,24
Buy,GS,10,15.19,2018,3,23
Buy,JPM,41,6.37,2016,5,9
Sell,WMT,12,1.24,2016,6,14
Sell,UTX,44,1.77,2015,6,15
Sell,INTC,24,21.57,2017,2,20
Buy,NKE,14,76.61,2015,6,4
Buy,MRK,16,77.23,2014,3,1
Buy,WMT,26,74.59,2018,8,19
Sell,UNH,18,28.31,2017,10,7
Sell,MCD,47,58.35,2015,2,5
Buy,XYZ,28,79.68,2014,2,14
Sell,XYZ,38,75.76,2014,4,14
Sell,UTX,43,93.80,2017,10,23
Sell,DD,34,56.98,2018,1,11
Buy,UTX,39,87.18,2018,10,3
